time,Avior,Josephine
832,18,16
833,10,83
834,41,36
835,4,29
836,21,93
837,35,122
838,5,6
839,0,16
840,27,5
841,0,9
842,18,0
843,0,0
844,0,0
845,0,0
846,42,33
847,0,11
848,20,0
849,163,113
850,253,89
851,80,0
852,26,0
853,45,0
854,46,14
855,80,0
856,118,209
857,13,266
858,78,375
859,173,145
860,95,248
861,343,78
862,409,311
863,254,54
864,645,215
865,318,531
866,763,1190
867,133,288
868,602,144
869,370,0
870,673,13
871,371,0
872,319,0
873,654,87
874,387,10
875,145,134
876,153,328
877,24,105
878,413,51
879,187,27
880,336,343
881,88,119
882,854,17
883,752,18
884,580,4
885,535,128
886,467,153
887,545,359
888,492,183
889,493,22
890,61,28
891,238,20
892,259,169
893,194,131
894,41,146
895,144,202
896,145,5
897,73,80
898,399,62
899,45,24
900,455,36
901,199,11
902,5,25
903,64,0
904,0,4
905,5,83
906,49,160
907,156,116
908,690,273
909,506,272
910,512,75
911,261,392
912,679,324
913,775,20
914,970,23
915,563,148
916,448,158
917,163,105
918,7,185
919,393,14
920,78,293
921,110,21
922,21,7
923,0,20
924,236,46
925,290,429
926,353,384
927,287,393
928,161,38
929,893,24
930,548,4
931,452,0
932,423,64
933,17,4
934,0,32
935,0,0
936,0,10
937,52,12
938,0,8
939,0,10
940,14,14
941,0,0
942,0,0
943,0,20
944,0,10
945,0,0
946,0,30
947,0,19
948,0,0
949,0,0
950,0,6
951,0,5
952,0,0
953,5,31
954,0,22
955,0,0
956,0,20
957,0,8
958,0,30
959,0,38
960,0,0
961,0,29
962,0,0
963,0,15
964,0,0
965,0,16
966,13,256
967,49,107
968,94,539
969,15,397
970,64,174
971,88,154
972,361,205
973,259,211
974,499,502
975,107,354
976,785,275
977,138,300
978,266,563
979,200,606
980,637,275
981,650,259
982,309,31
983,619,37
984,527,50
985,336,295
986,164,417
987,243,371
988,500,435
989,243,22
990,745,465
991,399,367
992,566,270
993,246,246
994,193,47
995,303,103
996,7,57
997,13,208
998,221,43
999,66,71
1000,285,32
1001,70,15
1002,4,0
1003,279,49
1004,52,215
1005,55,263
1006,329,110
1007,557,221
1008,58,230
1009,342,302
1010,1108,69
1011,1155,797
1012,362,360
1013,245,19
1014,495,148
1015,425,135
1016,57,183
1017,760,176
1018,146,147
1019,324,407
1020,160,185
1021,0,43
1022,77,277
1023,290,530
1024,269,367
1025,197,235
1026,149,318
1027,119,406
1028,79,121
1029,188,5
1030,245,23
1031,659,4
