time,Persephone,Teres
1798,768,63
1799,318,19
1800,212,10
1801,199,43
1802,188,6
1803,91,213
1804,398,181
1805,277,287
1806,775,647
1807,402,346
1808,392,525
1809,403,668
1810,615,258
1811,156,258
1812,132,5
1813,578,136
1814,285,14
1815,302,261
1816,305,148
1817,162,82
1818,1023,0
1819,384,0
1820,0,0
1821,10,6
1822,0,5
1823,0,0
1824,0,0
1825,28,0
1826,134,0
1827,23,0
1828,24,0
1829,167,0
1830,305,67
1831,686,253
1832,849,0
1833,641,14
1834,172,29
1835,418,0
1836,120,60
1837,79,20
1838,470,559
1839,146,894
1840,101,113
1841,39,0
1842,476,19
1843,196,11
1844,6,0
1845,47,318
1846,5,0
1847,29,20
1848,314,110
1849,233,89
1850,4,0
1851,0,0
1852,6,0
1853,592,4
1854,701,31
1855,52,0
1856,135,300
1857,493,53
1858,137,359
1859,44,151
1860,88,4
1861,38,0
1862,14,4
1863,7,10
1864,0,0
1865,0,0
1866,7,0
1867,0,0
1868,10,0
1869,0,0
1870,0,0
1871,10,0
1872,0,0
1873,18,9
1874,95,0
1875,12,0
1876,63,0
1877,14,0
1878,14,0
1879,58,0
1880,49,10
1881,414,0
1882,178,171
1883,361,252
1884,252,123
1885,14,0
1886,1258,271
1887,4,76
1888,375,71
1889,283,191
1890,14,247
1891,0,0
1892,11,349
1893,737,63
1894,662,913
1895,151,135
1896,1267,288
1897,254,344
1898,719,229
1899,125,661
1900,1145,748
1901,825,368
1902,1659,1430
1903,2499,2931
1904,1034,2297
1905,540,526
1906,510,188
1907,511,188
1908,457,66
1909,437,90
1910,5,12
1911,11,23
1912,18,0
1913,170,26
1914,90,0
1915,211,31
1916,102,131
1917,18,6
1918,0,0
1919,131,20
1920,9,0
1921,107,88
1922,67,11
1923,561,0
1924,581,0
1925,51,5
1926,63,13
1927,119,0
1928,75,279
1929,43,239
1930,44,206
1931,522,451
1932,543,290
1933,99,0
1934,23,183
1935,128,13
1936,115,495
1937,272,59
1938,273,151
1939,31,362
1940,566,180
1941,582,19
1942,0,19
1943,739,0
1944,247,623
1945,41,194
1946,213,155
1947,117,0
1948,17,0
1949,227,0
1950,86,0
1951,34,30
1952,134,29
1953,716,13
1954,21,0
1955,440,950
1956,748,880
1957,127,280
1958,4,4
1959,0,0
1960,110,0
1961,727,274
1962,127,95
1963,176,153
1964,725,249
1965,178,219
1966,209,349
1967,0,10
1968,38,199
1969,9,0
1970,93,6
1971,666,722
1972,507,251
1973,498,28
1974,811,718
1975,9,189
1976,119,217
1977,24,4
1978,42,31
1979,247,0
1980,173,10
1981,85,98
1982,113,4
1983,107,29
1984,116,0
1985,193,0
1986,76,0
1987,45,11
1988,15,0
1989,130,0
1990,37,4
1991,40,5
1992,171,0
1993,59,30
1994,0,0
1995,67,166
1996,49,191
1997,96,108
1998,41,0
1999,19,0
2000,457,4
2001,52,126
2002,695,5
2003,23,0
2004,103,14
2005,139,0
2006,43,0
2007,5,0
2008,5,0
2009,40,0
2010,0,5
2011,21,54
2012,505,170
2013,280,17
2014,170,23
2015,206,0
2016,658,28
2017,351,646
2018,462,282
2019,766,1072
2020,375,367
2021,67,583
2022,235,0
2023,664,0
2024,412,76
2025,953,423
2026,147,0
2027,491,0
2028,531,160
2029,1196,7
2030,630,599
2031,57,335
2032,397,354
2033,664,458
2034,256,681
2035,382,68
2036,588,108
2037,0,47
2038,31,0
