time,Aria,Geb
248,664,968
249,32,297
250,407,41
251,53,38
252,6,164
253,0,24
254,107,822
255,226,127
256,235,125
257,41,131
258,84,113
259,0,18
260,0,4
261,216,96
262,211,80
263,0,49
264,0,6
265,0,0
266,0,0
267,0,0
268,0,13
269,121,0
270,87,10
271,4,15
272,0,0
273,0,0
274,0,0
275,0,0
276,0,11
277,0,0
278,0,0
279,0,0
280,10,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,15,0
291,21,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,121,0
298,0,0
299,0,7
300,0,168
301,10,70
302,0,12
303,0,161
304,0,26
305,0,13
306,30,25
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,285,67
313,55,98
314,43,41
315,342,40
316,497,20
317,245,185
318,165,205
319,341,19
320,0,5
321,0,4
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,4
330,0,0
331,11,0
332,7,0
333,0,7
334,0,4
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,9,0
342,0,0
343,0,0
344,0,0
345,37,18
346,594,74
347,738,44
348,623,214
349,578,494
350,321,437
351,400,535
352,627,141
353,395,257
354,708,587
355,201,627
356,1035,783
357,1145,336
358,217,619
359,258,721
360,652,242
361,809,282
362,371,274
363,269,75
364,361,1137
365,262,459
366,843,963
367,705,370
368,547,156
369,527,41
370,426,787
371,497,559
372,66,566
373,337,788
374,424,894
375,466,402
376,634,488
377,864,306
378,419,505
379,566,207
380,107,141
381,151,104
382,188,64
383,178,0
384,300,0
385,90,0
386,0,0
387,59,0
388,73,0
389,16,0
390,10,4
391,0,33
392,0,12
393,0,5
394,0,0
395,4,0
396,0,0
397,0,0
398,19,0
399,0,0
400,0,0
401,0,0
402,0,0
403,22,0
404,0,0
405,0,0
406,0,0
407,51,13
408,0,0
409,4,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,29,0
425,0,0
426,0,0
427,4,0
428,0,5
429,34,0
430,0,0
431,0,0
432,6,0
433,0,0
434,0,0
435,0,0
436,0,0
437,19,0
438,7,0
439,8,0
440,0,0
441,4,0
442,16,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,36,11
454,133,6
455,0,0
456,0,0
457,0,0
458,8,6
459,0,0
460,0,0
461,24,0
462,16,0
463,110,0
464,155,23
465,97,0
466,197,31
467,355,4
468,167,137
469,77,6
470,110,204
471,150,32
472,69,0
473,0,0
474,25,94
475,135,11
476,239,0
477,268,0
478,114,0
479,139,0
480,196,0
481,85,0
482,189,0
483,134,0
484,163,0
485,166,6
486,562,864
487,100,837
488,806,239
489,468,227
490,202,271
491,526,160
492,540,145
493,619,573
494,68,233
495,330,347
496,10,403
497,881,232
498,456,191
499,756,356
500,801,33
501,467,23
502,569,309
503,482,571
504,375,240
505,78,199
506,172,92
507,4,33
508,193,364
509,256,41
510,0,18
511,87,39
512,185,87
513,110,223
514,561,321
515,884,811
516,706,276
517,196,327
518,191,498
519,209,123
520,274,507
521,197,136
522,29,53
523,652,87
524,30,36
525,42,80
526,109,81
527,0,21
528,127,60
529,169,57
530,494,248
531,1017,90
